Gene	RNA_log2FC	RNA_Pval	RNA_FDR	Prot_log2FC	Prot_Pval	Prot_FDR	Meta_PVal	Meta_FDR
ACACA	0.322141931867917	0.0460865590983813	0.218703350591116	0.225031174554087	0.195177361554801	0.33291700675958	0.0513714811732498	0.094599798238725
ACAD10	0.388476403797101	0.000221588465403341	0.00504539890456838	0.233319662931265	0.0974050720884159	0.201425029012312	0.000253471278512168	0.00121484117578122
ACAD11	-0.134864949575034	0.251276764810237	0.608890496083375	0.0266612800814666	0.851813107064313	0.909253469394039	0.544003771051274	0.624968661945744
ACAD8	-0.865318373523168	0.000600084690327302	0.0103073774074702	-1.11977624267888	4.81101345968486e-05	0.000960087272521668	5.30069217185897e-07	7.57299654075147e-06
ACAD9	0.117043539615149	0.262352008866088	0.623139509451698	-0.205287514785324	0.185144213707438	0.319439846627789	0.195490996167292	0.2799365127179
ACADM	0.385673526401604	0.00326037676533912	0.0351868082658095	0.28568043300874	0.0643006410578147	0.149036554342223	0.00198535235832215	0.0066133541330892
ACADS	-0.179244095411173	0.229213042746106	0.578498785209463	-0.647390229087754	0.000648461787599092	0.00547382267270453	0.0014587141135836	0.00518283968459183
ACADSB	-0.242121399704828	0.288461370263075	0.654316594528217	-0.46635051377896	0.0879012226037142	0.187631036979165	0.11853310514865	0.187405704966296
ACADVL	0.0423457975706469	0.692734837051181	0.95340955781377	-0.163974751663177	0.2273012261923	0.371947461041945	0.448536994211543	0.536063407029535
ACAN	0.6521666049554	0.133241187196006	0.425328782181801	0.0158284415771497	0.958831004073845	0.976777553019164	0.39063054646024	0.47915266622609
ACAP1	-1.03726948240895	2.85284271609179e-05	0.00118271101767837	-0.388883061926517	0.0012986264393628	0.00874247719655912	6.7097414416088e-07	9.28429408364832e-06
ACAP2	-0.0583047362831719	0.543654839360466	0.8749078735948	-0.15748112373086	0.141095614614787	0.264280937189911	0.273673114360064	0.36206010663769
ACAP3	0.214155084925896	0.0587222796675873	0.255223661522509	0.0062757654198812	0.939178916989805	0.966100900082372	0.214960178808203	0.301291025333876
ACAT1	0.0404068384660725	0.785356221216586	0.979412103366344	-0.384527611504533	0.0503170350428033	0.124347258947064	0.167196739678785	0.248220552131906
ACAT2	0.358665027376786	0.0392297796184618	0.196466940013784	0.908333188504045	0.000145507365704488	0.00198547147396769	7.46270436510747e-05	0.000444313362677952
ACBD3	0.195725424912984	0.063331899300273	0.268082712724051	0.208811045518614	0.0277758827955354	0.0798963247469613	0.0129169838313897	0.0310223730957564
ACBD5	0.404232922420443	0.00254096775342594	0.0294410355479517	0.625200613025709	0.00134237243955265	0.00893242854146059	4.6349437741176e-05	0.000300106584750491
ACBD6	0.331926857010362	0.000947083603192426	0.0146103841847535	0.0801066097780413	0.427555375616934	0.576178164592449	0.00356816622041301	0.0107073646582032
